,index,Date,Total_cases,New_cases,New_smoothed,Transits
0,8471,2020-02-15,8.0,1.0,0.14300000000000002,3.0
1,8472,2020-02-16,8.0,0.0,0.14300000000000002,4.0
2,8473,2020-02-17,8.0,0.0,0.14300000000000002,-28.0
3,8474,2020-02-18,8.0,0.0,0.14300000000000002,-1.0
4,8475,2020-02-19,8.0,0.0,0.14300000000000002,0.0
5,8476,2020-02-20,8.0,0.0,0.14300000000000002,-1.0
6,8477,2020-02-21,9.0,1.0,0.28600000000000003,-1.0
7,8478,2020-02-22,9.0,0.0,0.14300000000000002,6.0
8,8479,2020-02-23,9.0,0.0,0.14300000000000002,5.0
9,8480,2020-02-24,9.0,0.0,0.14300000000000002,-1.0
10,8481,2020-02-25,11.0,2.0,0.429,0.0
11,8482,2020-02-26,11.0,0.0,0.429,-2.0
12,8483,2020-02-27,12.0,1.0,0.5710000000000001,-5.0
13,8484,2020-02-28,14.0,2.0,0.7140000000000001,1.0
14,8485,2020-02-29,16.0,2.0,1.0,6.0
15,8486,2020-03-01,20.0,4.0,1.571,6.0
16,8487,2020-03-02,24.0,4.0,2.1430000000000002,-2.0
17,8488,2020-03-03,27.0,3.0,2.286,-2.0
18,8489,2020-03-04,30.0,3.0,2.714,0.0
19,8490,2020-03-05,33.0,3.0,3.0,-1.0
20,8491,2020-03-06,45.0,12.0,4.428999999999999,-3.0
21,8492,2020-03-07,51.0,6.0,5.0,3.0
22,8493,2020-03-08,57.0,6.0,5.2860000000000005,3.0
23,8494,2020-03-09,62.0,5.0,5.428999999999999,-3.0
24,8495,2020-03-10,77.0,15.0,7.143,-6.0
25,8496,2020-03-11,93.0,16.0,9.0,-3.0
26,8497,2020-03-12,103.0,10.0,10.0,-6.0
27,8498,2020-03-13,138.0,35.0,13.286,-17.0
28,8499,2020-03-14,176.0,38.0,17.857,-19.0
29,8500,2020-03-15,244.0,68.0,26.714000000000002,-22.0
30,8501,2020-03-16,304.0,60.0,34.571,-37.0
31,8502,2020-03-17,424.0,120.0,49.571000000000005,-45.0
32,8503,2020-03-18,569.0,145.0,68.0,-48.0
33,8504,2020-03-19,690.0,121.0,83.85700000000001,-52.0
34,8505,2020-03-20,846.0,156.0,101.14299999999999,-54.0
35,8506,2020-03-21,971.0,125.0,113.571,-49.0
36,8507,2020-03-22,1302.0,331.0,151.143,-54.0
37,8508,2020-03-23,1430.0,128.0,160.857,-63.0
38,8509,2020-03-24,1646.0,216.0,174.571,-64.0
39,8510,2020-03-25,1959.0,313.0,198.571,-65.0
40,8511,2020-03-26,3385.0,1426.0,385.0,-68.0
41,8512,2020-03-27,4018.0,633.0,453.14300000000003,-66.0
42,8513,2020-03-28,4675.0,657.0,529.143,-64.0
43,8514,2020-03-29,5386.0,711.0,583.429,-66.0
44,8515,2020-03-30,6255.0,869.0,689.2860000000001,-70.0
45,8516,2020-03-31,7424.0,1169.0,825.429,-68.0
46,8517,2020-04-01,8536.0,1112.0,939.571,-68.0
47,8518,2020-04-02,9595.0,1059.0,887.143,-70.0
48,8519,2020-04-03,11268.0,1673.0,1035.714,-69.0
49,8520,2020-04-04,12519.0,1251.0,1120.5710000000001,-63.0
50,8521,2020-04-05,13882.0,1363.0,1213.714,-67.0
51,8522,2020-04-06,15496.0,1614.0,1320.1429999999998,-68.0
52,8523,2020-04-07,16653.0,1157.0,1318.4289999999999,-68.0
53,8524,2020-04-08,17883.0,1230.0,1335.286,-67.0
54,8525,2020-04-09,19274.0,1391.0,1382.714,-68.0
55,8526,2020-04-10,20748.0,1474.0,1354.286,-77.0
56,8527,2020-04-11,22133.0,1385.0,1373.4289999999999,-63.0
57,8528,2020-04-12,23301.0,1168.0,1345.5710000000001,-67.0
58,8529,2020-04-13,24365.0,1064.0,1267.0,-74.0
59,8530,2020-04-14,25663.0,1298.0,1287.143,-68.0
60,8531,2020-04-15,27046.0,1383.0,1309.0,-68.0
61,8532,2020-04-16,28364.0,1318.0,1298.5710000000001,-68.0
62,8533,2020-04-17,30081.0,1717.0,1333.286,-67.0
63,8534,2020-04-18,31872.0,1791.0,1391.286,-57.0
64,8535,2020-04-19,33341.0,1469.0,1434.286,-64.0
65,8536,2020-04-20,34777.0,1436.0,1487.4289999999999,-65.0
66,8537,2020-04-21,36823.0,2046.0,1594.286,-68.0
67,8538,2020-04-22,38413.0,1590.0,1623.8570000000002,-67.0
68,8539,2020-04-23,40179.0,1766.0,1687.8570000000002,-66.0
69,8540,2020-04-24,42099.0,1920.0,1716.8570000000002,-65.0
70,8541,2020-04-25,43877.0,1778.0,1715.0,-54.0
71,8542,2020-04-26,45341.0,1464.0,1714.286,-62.0
72,8543,2020-04-27,46884.0,1543.0,1729.5710000000001,-64.0
73,8544,2020-04-28,48489.0,1605.0,1666.5710000000001,-64.0
74,8545,2020-04-29,50015.0,1526.0,1657.4289999999999,-64.0
75,8546,2020-04-30,51587.0,1572.0,1629.714,-65.0
76,8547,2020-05-01,53236.0,1649.0,1591.0,-61.0
77,8548,2020-05-02,55061.0,1825.0,1597.714,-52.0
78,8549,2020-05-03,56714.0,1653.0,1624.714,-54.0
79,8550,2020-05-04,59474.0,2760.0,1798.5710000000001,-64.0
80,8551,2020-05-05,60772.0,1298.0,1754.714,-62.0
81,8552,2020-05-06,62046.0,1274.0,1718.714,-60.0
82,8553,2020-05-07,63496.0,1450.0,1701.286,-62.0
83,8554,2020-05-08,64922.0,1426.0,1669.4289999999999,-62.0
84,8555,2020-05-09,66434.0,1512.0,1624.714,-55.0
85,8556,2020-05-10,67702.0,1268.0,1569.714,-55.0
86,8557,2020-05-11,68848.0,1146.0,1339.1429999999998,-62.0
87,8558,2020-05-12,69981.0,1133.0,1315.5710000000001,-61.0
88,8559,2020-05-13,71157.0,1176.0,1301.5710000000001,-58.0
89,8560,2020-05-14,72278.0,1121.0,1254.5710000000001,-60.0
90,8561,2020-05-15,73401.0,1123.0,1211.286,-59.0
91,8562,2020-05-16,74602.0,1201.0,1166.857,-47.0
92,8563,2020-05-17,75853.0,1251.0,1164.4289999999999,-51.0
93,8564,2020-05-18,76991.0,1138.0,1163.286,-69.0
94,8565,2020-05-19,78061.0,1070.0,1154.286,-57.0
95,8566,2020-05-20,79101.0,1040.0,1134.857,-54.0
96,8567,2020-05-21,80091.0,990.0,1116.143,-55.0
97,8568,2020-05-22,81313.0,1222.0,1130.286,-54.0
98,8569,2020-05-23,82469.0,1156.0,1123.857,-42.0
99,8570,2020-05-24,83610.0,1141.0,1108.143,-43.0
100,8571,2020-05-25,84688.0,1078.0,1099.5710000000001,-55.0
101,8572,2020-05-26,85700.0,1012.0,1091.286,-54.0
102,8573,2020-05-27,86636.0,936.0,1076.4289999999999,-52.0
103,8574,2020-05-28,87508.0,872.0,1059.5710000000001,-54.0
104,8575,2020-05-29,88501.0,993.0,1026.857,-53.0
105,8576,2020-05-30,89407.0,906.0,991.143,-41.0
106,8577,2020-05-31,90179.0,772.0,938.429,-43.0
107,8578,2020-06-01,90936.0,757.0,892.571,-51.0
108,8579,2020-06-02,91694.0,758.0,856.2860000000001,-53.0
109,8580,2020-06-03,92399.0,705.0,823.2860000000001,-52.0
110,8581,2020-06-04,93074.0,675.0,795.143,-50.0
111,8582,2020-06-05,93715.0,641.0,744.857,-50.0
112,8583,2020-06-06,94324.0,609.0,702.429,-40.0
