,index,Date,Total_cases,New_cases,New_smoothed,Transits
0,12723,2020-02-15,15.0,0.0,0.28600000000000003,10.0
1,12724,2020-02-16,15.0,0.0,0.28600000000000003,6.0
2,12725,2020-02-17,15.0,0.0,0.28600000000000003,1.0
3,12726,2020-02-18,15.0,0.0,0.28600000000000003,1.0
4,12727,2020-02-19,15.0,0.0,0.0,-1.0
5,12728,2020-02-20,15.0,0.0,0.0,3.0
6,12729,2020-02-21,15.0,0.0,0.0,-1.0
7,12730,2020-02-22,15.0,0.0,0.0,9.0
8,12731,2020-02-23,15.0,0.0,0.0,2.0
9,12732,2020-02-24,15.0,0.0,0.0,-5.0
10,12733,2020-02-25,15.0,0.0,0.0,-5.0
11,12734,2020-02-26,17.0,2.0,0.28600000000000003,-7.0
12,12735,2020-02-27,21.0,4.0,0.857,-5.0
13,12736,2020-02-28,47.0,26.0,4.571000000000001,-2.0
14,12737,2020-02-29,57.0,10.0,6.0,1.0
15,12738,2020-03-01,111.0,54.0,13.714,4.0
16,12739,2020-03-02,129.0,18.0,16.285999999999998,-1.0
17,12740,2020-03-03,157.0,28.0,20.285999999999998,-3.0
18,12741,2020-03-04,196.0,39.0,25.570999999999998,-4.0
19,12742,2020-03-05,262.0,66.0,34.429,-5.0
20,12743,2020-03-06,400.0,138.0,50.428999999999995,-7.0
21,12744,2020-03-07,684.0,284.0,89.571,-2.0
22,12745,2020-03-08,847.0,163.0,105.14299999999999,2.0
23,12746,2020-03-09,902.0,55.0,110.429,-5.0
24,12747,2020-03-10,1139.0,237.0,140.286,-8.0
25,12748,2020-03-11,1296.0,157.0,157.143,-7.0
26,12749,2020-03-12,1567.0,271.0,186.429,-9.0
27,12750,2020-03-13,2369.0,802.0,281.286,-15.0
28,12751,2020-03-14,3062.0,693.0,339.714,-19.0
29,12752,2020-03-15,3795.0,733.0,421.14300000000003,-16.0
30,12753,2020-03-16,4838.0,1043.0,562.286,-25.0
31,12754,2020-03-17,6012.0,1174.0,696.143,-35.0
32,12755,2020-03-18,7156.0,1144.0,837.143,-39.0
33,12756,2020-03-19,8198.0,1042.0,947.2860000000001,-46.0
