,index,Date,Total_cases,New_cases,New_smoothed,Transits
0,15451,2020-02-14,2.0,0.0,0.14300000000000002,8.0
1,15452,2020-02-15,2.0,0.0,0.14300000000000002,5.0
2,15453,2020-02-16,2.0,0.0,0.14300000000000002,3.0
3,15454,2020-02-17,2.0,0.0,0.0,4.0
4,15455,2020-02-18,2.0,0.0,0.0,2.0
5,15456,2020-02-19,2.0,0.0,0.0,5.0
6,15457,2020-02-20,2.0,0.0,0.0,6.0
7,15458,2020-02-21,2.0,0.0,0.0,14.0
8,15459,2020-02-22,2.0,0.0,0.0,11.0
9,15460,2020-02-23,2.0,0.0,0.0,4.0
10,15461,2020-02-24,2.0,0.0,0.0,3.0
11,15462,2020-02-25,3.0,1.0,0.14300000000000002,1.0
12,15463,2020-02-26,9.0,6.0,1.0,6.0
13,15464,2020-02-27,17.0,8.0,2.1430000000000002,2.0
14,15465,2020-02-28,35.0,18.0,4.7139999999999995,6.0
15,15466,2020-02-29,54.0,19.0,7.428999999999999,5.0
16,15467,2020-03-01,82.0,28.0,11.429,-3.0
17,15468,2020-03-02,136.0,54.0,19.143,1.0
18,15469,2020-03-03,192.0,56.0,27.0,2.0
19,15470,2020-03-04,267.0,75.0,36.857,0.0
20,15471,2020-03-05,348.0,81.0,47.286,0.0
21,15472,2020-03-06,531.0,183.0,70.857,4.0
22,15473,2020-03-07,764.0,233.0,101.429,8.0
23,15474,2020-03-08,1094.0,330.0,144.571,0.0
24,15475,2020-03-09,1527.0,433.0,198.71400000000003,-1.0
25,15476,2020-03-10,2299.0,772.0,301.0,-9.0
26,15477,2020-03-11,3274.0,975.0,429.57099999999997,-16.0
27,15478,2020-03-12,4427.0,1153.0,582.714,-32.0
28,15479,2020-03-13,5958.0,1531.0,775.2860000000001,-52.0
29,15480,2020-03-14,7641.0,1683.0,982.429,-71.0
30,15481,2020-03-15,9785.0,2144.0,1241.5710000000001,-71.0
31,15482,2020-03-16,11491.0,1706.0,1423.4289999999999,-74.0
32,15483,2020-03-17,13994.0,2503.0,1670.714,-76.0
33,15484,2020-03-18,17688.0,3694.0,2059.143,-80.0
34,15485,2020-03-19,21735.0,4047.0,2472.571,-80.0
35,15486,2020-03-20,26304.0,4569.0,2906.571,-84.0
36,15487,2020-03-21,31750.0,5446.0,3444.143,-87.0
37,15488,2020-03-22,36616.0,4866.0,3833.0,-81.0
38,15489,2020-03-23,41262.0,4646.0,4253.0,-81.0
39,15490,2020-03-24,48953.0,7691.0,4994.143,-82.0
40,15491,2020-03-25,57506.0,8553.0,5688.286,-82.0
