,index,Date,Total_cases,New_cases,New_smoothed,Transits
0,17107,2020-02-15,11.0,0.0,0.0,12.0
1,17108,2020-02-16,11.0,0.0,0.0,7.0
2,17109,2020-02-17,12.0,1.0,0.14300000000000002,-6.0
3,17110,2020-02-18,12.0,0.0,0.14300000000000002,-4.0
4,17111,2020-02-19,12.0,0.0,0.14300000000000002,-6.0
5,17112,2020-02-20,12.0,0.0,0.14300000000000002,-4.0
6,17113,2020-02-21,12.0,0.0,0.14300000000000002,0.0
7,17114,2020-02-22,12.0,0.0,0.14300000000000002,14.0
8,17115,2020-02-23,12.0,0.0,0.14300000000000002,12.0
9,17116,2020-02-24,12.0,0.0,0.0,-1.0
10,17117,2020-02-25,12.0,0.0,0.0,-3.0
11,17118,2020-02-26,14.0,2.0,0.28600000000000003,-5.0
12,17119,2020-02-27,17.0,3.0,0.7140000000000001,-5.0
13,17120,2020-02-28,38.0,21.0,3.714,0.0
14,17121,2020-02-29,57.0,19.0,6.428999999999999,4.0
15,17122,2020-03-01,100.0,43.0,12.571,2.0
16,17123,2020-03-02,130.0,30.0,16.857,-4.0
17,17124,2020-03-03,178.0,48.0,23.714000000000002,-4.0
18,17125,2020-03-04,212.0,34.0,28.285999999999998,-6.0
19,17126,2020-03-05,285.0,73.0,38.286,-6.0
20,17127,2020-03-06,423.0,138.0,55.0,-1.0
21,17128,2020-03-07,613.0,190.0,79.429,1.0
22,17129,2020-03-08,716.0,103.0,88.0,-2.0
23,17130,2020-03-09,1126.0,410.0,142.286,-5.0
24,17131,2020-03-10,1412.0,286.0,176.28599999999997,-6.0
25,17132,2020-03-11,1784.0,372.0,224.571,-5.0
26,17133,2020-03-12,2281.0,497.0,285.143,-7.0
27,17134,2020-03-13,2876.0,595.0,350.42900000000003,-8.0
28,17135,2020-03-14,3661.0,785.0,435.42900000000003,-16.0
29,17136,2020-03-15,4499.0,838.0,540.429,-21.0
30,17137,2020-03-16,5423.0,924.0,613.857,-39.0
31,17138,2020-03-17,6633.0,1210.0,745.857,-61.0
32,17139,2020-03-18,7730.0,1097.0,849.429,-76.0
33,17140,2020-03-19,9134.0,1404.0,979.0,-78.0
34,17141,2020-03-20,10995.0,1861.0,1159.857,-80.0
35,17142,2020-03-21,12612.0,1617.0,1278.714,-82.0
36,17143,2020-03-22,14459.0,1847.0,1422.8570000000002,-84.0
37,17144,2020-03-23,16018.0,1559.0,1513.5710000000001,-82.0
38,17145,2020-03-24,19856.0,3838.0,1889.0,-82.0
39,17146,2020-03-25,22302.0,2446.0,2081.714,-83.0
40,17147,2020-03-26,25233.0,2931.0,2299.857,-83.0
41,17148,2020-03-27,29155.0,3922.0,2594.286,-84.0
42,17149,2020-03-28,32964.0,3809.0,2907.429,-83.0
43,17150,2020-03-29,37575.0,4611.0,3302.2859999999996,-87.0
44,17151,2020-03-30,40174.0,2599.0,3450.857,-83.0
45,17152,2020-03-31,44550.0,4376.0,3527.7140000000004,-82.0
46,17153,2020-04-01,52128.0,7578.0,4260.857,-81.0
47,17154,2020-04-02,56989.0,4861.0,4536.571,-82.0
48,17155,2020-04-03,59105.0,2116.0,4278.571,-82.0
49,17156,2020-04-04,64338.0,5233.0,4482.0,-80.0
50,17157,2020-04-05,68605.0,4267.0,4432.857,-82.0
51,17158,2020-04-06,70478.0,1873.0,4329.143,-81.0
