,index,Date,Total_cases,New_cases,New_smoothed,Transits
0,17894,2020-02-15,10.0,0.0,0.857,-12.0
1,17895,2020-02-16,10.0,0.0,0.857,-7.0
2,17896,2020-02-17,10.0,0.0,0.28600000000000003,-2.0
3,17897,2020-02-18,10.0,0.0,0.14300000000000002,-3.0
4,17898,2020-02-19,10.0,0.0,0.14300000000000002,-4.0
5,17899,2020-02-20,10.0,0.0,0.0,-5.0
6,17900,2020-02-21,10.0,0.0,0.0,-3.0
7,17901,2020-02-22,10.0,0.0,0.0,-2.0
8,17902,2020-02-23,11.0,1.0,0.14300000000000002,3.0
9,17903,2020-02-24,11.0,0.0,0.14300000000000002,-2.0
10,17904,2020-02-25,11.0,0.0,0.14300000000000002,1.0
11,17905,2020-02-26,13.0,2.0,0.429,-1.0
12,17906,2020-02-27,18.0,5.0,1.143,0.0
13,17907,2020-02-28,22.0,4.0,1.714,0.0
14,17908,2020-02-29,30.0,8.0,2.8569999999999998,-2.0
15,17909,2020-03-01,42.0,12.0,4.428999999999999,5.0
16,17910,2020-03-02,47.0,5.0,5.143,0.0
17,17911,2020-03-03,69.0,22.0,8.286,-1.0
18,17912,2020-03-04,109.0,40.0,13.714,-2.0
19,17913,2020-03-05,164.0,55.0,20.857,-3.0
20,17914,2020-03-06,220.0,56.0,28.285999999999998,1.0
21,17915,2020-03-07,271.0,51.0,34.429,-1.0
22,17916,2020-03-08,352.0,81.0,44.286,2.0
23,17917,2020-03-09,412.0,60.0,52.143,-3.0
24,17918,2020-03-10,469.0,57.0,57.143,-4.0
25,17919,2020-03-11,617.0,148.0,72.571,-6.0
26,17920,2020-03-12,876.0,259.0,101.714,-8.0
27,17921,2020-03-13,1282.0,406.0,151.714,-9.0
28,17922,2020-03-14,1766.0,484.0,213.571,-15.0
29,17923,2020-03-15,2244.0,478.0,270.286,-16.0
30,17924,2020-03-16,2605.0,361.0,313.286,-16.0
31,17925,2020-03-17,3047.0,442.0,368.286,-27.0
32,17926,2020-03-18,3658.0,611.0,434.42900000000003,-34.0
33,17927,2020-03-19,4427.0,769.0,507.286,-37.0
34,17928,2020-03-20,5426.0,999.0,592.0,-40.0
35,17929,2020-03-21,6481.0,1055.0,673.571,-46.0
36,17930,2020-03-22,7736.0,1255.0,784.571,-46.0
37,17931,2020-03-23,8934.0,1198.0,904.143,-53.0
38,17932,2020-03-24,10312.0,1378.0,1037.857,-64.0
39,17933,2020-03-25,12650.0,2338.0,1284.5710000000001,-68.0
40,17934,2020-03-26,15025.0,2375.0,1514.0,-70.0
41,17935,2020-03-27,17717.0,2692.0,1755.8570000000002,-71.0
42,17936,2020-03-28,20804.0,3087.0,2046.1429999999998,-74.0
43,17937,2020-03-29,24001.0,3197.0,2323.571,-75.0
44,17938,2020-03-30,26823.0,2822.0,2555.571,-73.0
45,17939,2020-03-31,29681.0,2858.0,2767.0,-72.0
46,17940,2020-04-01,33954.0,4273.0,3043.429,-73.0
47,17941,2020-04-02,38468.0,4514.0,3349.0,-73.0
