,index,Date,Total_cases,New_cases,New_smoothed,Transits
0,25089,2020-02-15,3.0,0.0,0.0,9.0
1,25090,2020-02-16,3.0,0.0,0.0,11.0
2,25091,2020-02-17,3.0,0.0,0.0,3.0
3,25092,2020-02-18,3.0,0.0,0.0,4.0
4,25093,2020-02-19,3.0,0.0,0.0,3.0
5,25094,2020-02-20,3.0,0.0,0.0,5.0
6,25095,2020-02-21,3.0,0.0,0.0,5.0
7,25096,2020-02-22,17.0,14.0,2.0,8.0
8,25097,2020-02-23,79.0,62.0,10.857000000000001,6.0
9,25098,2020-02-24,132.0,53.0,18.429000000000002,-15.0
10,25099,2020-02-25,229.0,97.0,32.286,-18.0
11,25100,2020-02-26,322.0,93.0,45.571000000000005,-23.0
12,25101,2020-02-27,400.0,78.0,56.714,-22.0
13,25102,2020-02-28,650.0,250.0,92.429,-20.0
14,25103,2020-02-29,888.0,238.0,124.429,-16.0
15,25104,2020-03-01,1128.0,240.0,149.857,-26.0
16,25105,2020-03-02,1689.0,561.0,222.429,-25.0
17,25106,2020-03-03,2036.0,347.0,258.143,-21.0
18,25107,2020-03-04,2502.0,466.0,311.42900000000003,-19.0
19,25108,2020-03-05,3089.0,587.0,384.14300000000003,-28.0
20,25109,2020-03-06,3858.0,769.0,458.286,-29.0
21,25110,2020-03-07,4636.0,778.0,535.429,-24.0
22,25111,2020-03-08,5883.0,1247.0,679.2860000000001,-27.0
23,25112,2020-03-09,7375.0,1492.0,812.2860000000001,-42.0
24,25113,2020-03-10,9172.0,1797.0,1019.429,-51.0
25,25114,2020-03-11,10149.0,977.0,1092.4289999999999,-57.0
26,25115,2020-03-12,12462.0,2313.0,1339.0,-67.0
27,25116,2020-03-13,15113.0,2651.0,1607.8570000000002,-71.0
28,25117,2020-03-14,17660.0,2547.0,1860.5710000000001,-76.0
29,25118,2020-03-15,21157.0,3497.0,2182.0,-80.0
30,25119,2020-03-16,23980.0,2823.0,2372.143,-74.0
31,25120,2020-03-17,27980.0,4000.0,2686.857,-76.0
32,25121,2020-03-18,31506.0,3526.0,3051.0,-77.0
33,25122,2020-03-19,35713.0,4207.0,3321.571,-78.0
34,25123,2020-03-20,41035.0,5322.0,3703.143,-78.0
35,25124,2020-03-21,47021.0,5986.0,4194.429,-80.0
36,25125,2020-03-22,53578.0,6557.0,4631.571,-87.0
37,25126,2020-03-23,59138.0,5560.0,5022.571,-81.0
38,25127,2020-03-24,63927.0,4789.0,5135.286,-81.0
39,25128,2020-03-25,69176.0,5249.0,5381.429,-82.0
40,25129,2020-03-26,74386.0,5210.0,5524.714,-83.0
41,25130,2020-03-27,80539.0,6153.0,5643.429,-82.0
