,index,Date,Total_cases,New_cases,New_smoothed,Transits
0,26105,2020-02-15,38.0,8.0,1.857,1.0
1,26106,2020-02-16,52.0,14.0,3.8569999999999998,-10.0
2,26107,2020-02-17,59.0,7.0,4.857,-1.0
3,26108,2020-02-18,59.0,0.0,4.857,-2.0
4,26109,2020-02-19,66.0,7.0,5.857,-3.0
5,26110,2020-02-20,84.0,18.0,7.857,-3.0
6,26111,2020-02-21,93.0,9.0,9.0,-2.0
7,26112,2020-02-22,105.0,12.0,9.571,-3.0
8,26113,2020-02-23,132.0,27.0,11.429,2.0
9,26114,2020-02-24,144.0,12.0,12.142999999999999,-27.0
10,26115,2020-02-25,144.0,0.0,12.142999999999999,-2.0
11,26116,2020-02-26,164.0,20.0,14.0,-5.0
12,26117,2020-02-27,186.0,22.0,14.571,-7.0
13,26118,2020-02-28,210.0,24.0,16.714000000000002,-10.0
14,26119,2020-02-29,230.0,20.0,17.857,-21.0
15,26120,2020-03-01,239.0,9.0,15.286,-23.0
16,26121,2020-03-02,254.0,15.0,15.714,-15.0
17,26122,2020-03-03,254.0,0.0,15.714,-15.0
18,26123,2020-03-04,268.0,14.0,14.857000000000001,-19.0
19,26124,2020-03-05,317.0,49.0,18.714000000000002,-18.0
20,26125,2020-03-06,349.0,32.0,19.857,-18.0
21,26126,2020-03-07,408.0,59.0,25.429000000000002,-24.0
22,26127,2020-03-08,455.0,47.0,30.857,-31.0
23,26128,2020-03-09,488.0,33.0,33.429,-15.0
24,26129,2020-03-10,514.0,26.0,37.143,-18.0
25,26130,2020-03-11,568.0,54.0,42.857,-16.0
26,26131,2020-03-12,619.0,51.0,43.143,-15.0
27,26132,2020-03-13,675.0,56.0,46.571000000000005,-17.0
28,26133,2020-03-14,737.0,62.0,47.0,-27.0
29,26134,2020-03-15,780.0,43.0,46.428999999999995,-21.0
30,26135,2020-03-16,814.0,34.0,46.571000000000005,-15.0
31,26136,2020-03-17,824.0,10.0,44.286,-15.0
32,26137,2020-03-18,829.0,5.0,37.286,-14.0
33,26138,2020-03-19,873.0,44.0,36.286,-10.0
34,26139,2020-03-20,950.0,77.0,39.286,-34.0
35,26140,2020-03-21,1007.0,57.0,38.571,-15.0
36,26141,2020-03-22,1046.0,39.0,38.0,-18.0
37,26142,2020-03-23,1089.0,43.0,39.286,-13.0
38,26143,2020-03-24,1128.0,39.0,43.428999999999995,-13.0
39,26144,2020-03-25,1193.0,65.0,52.0,-11.0
40,26145,2020-03-26,1268.0,75.0,56.428999999999995,-13.0
41,26146,2020-03-27,1364.0,96.0,59.143,-19.0
42,26147,2020-03-28,1499.0,135.0,70.286,-33.0
43,26148,2020-03-29,1693.0,194.0,92.429,-41.0
44,26149,2020-03-30,1866.0,173.0,111.0,-20.0
45,26150,2020-03-31,1953.0,87.0,117.85700000000001,-20.0
46,26151,2020-04-01,1953.0,0.0,108.571,-25.0
47,26152,2020-04-02,2178.0,225.0,130.0,-23.0
48,26153,2020-04-03,2617.0,439.0,179.0,-25.0
49,26154,2020-04-04,2935.0,318.0,205.143,-35.0
50,26155,2020-04-05,3271.0,336.0,225.429,-43.0
51,26156,2020-04-06,3654.0,383.0,255.429,-24.0
52,26157,2020-04-07,3906.0,252.0,279.0,-27.0
53,26158,2020-04-08,4257.0,351.0,329.14300000000003,-34.0
54,26159,2020-04-09,4768.0,511.0,370.0,-36.0
55,26160,2020-04-10,5347.0,579.0,390.0,-38.0
56,26161,2020-04-11,6005.0,658.0,438.57099999999997,-48.0
57,26162,2020-04-12,6748.0,743.0,496.714,-58.0
58,26163,2020-04-13,7255.0,507.0,514.429,-45.0
59,26164,2020-04-14,7645.0,390.0,534.143,-41.0
60,26165,2020-04-15,8100.0,455.0,549.0,-41.0
61,26166,2020-04-16,8582.0,482.0,544.857,-43.0
62,26167,2020-04-17,9167.0,585.0,545.714,-46.0
63,26168,2020-04-18,9795.0,628.0,541.429,-60.0
64,26169,2020-04-19,10361.0,566.0,516.143,-53.0
65,26170,2020-04-20,10751.0,390.0,499.42900000000003,-47.0
66,26171,2020-04-21,11118.0,367.0,496.14300000000003,-46.0
67,26172,2020-04-22,11496.0,378.0,485.14300000000003,-48.0
68,26173,2020-04-23,11772.0,276.0,455.714,-48.0
69,26174,2020-04-24,12240.0,468.0,439.0,-48.0
70,26175,2020-04-25,12892.0,652.0,442.42900000000003,-53.0
71,26176,2020-04-26,13182.0,290.0,403.0,-58.0
72,26177,2020-04-27,13385.0,203.0,376.286,-47.0
73,26178,2020-04-28,13576.0,191.0,351.14300000000003,-46.0
74,26179,2020-04-29,13852.0,276.0,336.57099999999997,-64.0
75,26180,2020-04-30,14088.0,236.0,330.85699999999997,-47.0
76,26181,2020-05-01,14281.0,193.0,291.57099999999997,-50.0
77,26182,2020-05-02,14544.0,263.0,236.0,-55.0
78,26183,2020-05-03,14839.0,295.0,236.71400000000003,-58.0
79,26184,2020-05-04,15057.0,218.0,238.857,-67.0
80,26185,2020-05-05,15231.0,174.0,236.429,-65.0
81,26186,2020-05-06,15354.0,123.0,214.571,-69.0
82,26187,2020-05-07,15463.0,109.0,196.429,-44.0
83,26188,2020-05-08,15547.0,84.0,180.857,-45.0
84,26189,2020-05-09,15628.0,81.0,154.857,-51.0
85,26190,2020-05-10,15747.0,119.0,129.714,-56.0
86,26191,2020-05-11,15798.0,51.0,105.85700000000001,-42.0
87,26192,2020-05-12,15874.0,76.0,91.85700000000001,-43.0
88,26193,2020-05-13,16024.0,150.0,95.714,-44.0
89,26194,2020-05-14,16079.0,55.0,88.0,-44.0
90,26195,2020-05-15,16193.0,114.0,92.286,-44.0
91,26196,2020-05-16,16237.0,44.0,87.0,-55.0
92,26197,2020-05-17,16285.0,48.0,76.857,-48.0
93,26198,2020-05-18,16305.0,20.0,72.429,-42.0
94,26199,2020-05-19,16365.0,60.0,70.143,-43.0
