,index,Date,Total_cases,New_cases,New_smoothed,Transits
0,27655,2020-02-15,28.0,0.0,0.5710000000000001,-6
1,27656,2020-02-16,29.0,1.0,0.5710000000000001,-15
2,27657,2020-02-17,30.0,1.0,0.429,-6
3,27658,2020-02-18,31.0,1.0,0.429,-3
4,27659,2020-02-19,46.0,15.0,2.571,-4
5,27660,2020-02-20,80.0,34.0,7.428999999999999,-6
6,27661,2020-02-21,155.0,75.0,18.143,-10
7,27662,2020-02-22,345.0,190.0,45.286,-24
8,27663,2020-02-23,601.0,256.0,81.714,-25
9,27664,2020-02-24,762.0,161.0,104.571,-15
10,27665,2020-02-25,892.0,130.0,123.0,-26
11,27666,2020-02-26,1146.0,254.0,157.143,-22
12,27667,2020-02-27,1595.0,449.0,216.429,-24
13,27668,2020-02-28,2022.0,427.0,266.714,-30
14,27669,2020-02-29,2931.0,909.0,369.42900000000003,-32
15,27670,2020-03-01,3526.0,595.0,417.85699999999997,-36
16,27671,2020-03-02,4212.0,686.0,492.85699999999997,-20
17,27672,2020-03-03,4812.0,600.0,560.0,-21
18,27673,2020-03-04,5328.0,516.0,597.429,-25
19,27674,2020-03-05,5766.0,438.0,595.857,-25
20,27675,2020-03-06,6284.0,518.0,608.857,-22
21,27676,2020-03-07,6767.0,483.0,548.0,-29
22,27677,2020-03-08,7134.0,367.0,515.429,-24
23,27678,2020-03-09,7382.0,248.0,452.85699999999997,-17
24,27679,2020-03-10,7513.0,131.0,385.85699999999997,-25
25,27680,2020-03-11,7755.0,242.0,346.714,-18
26,27681,2020-03-12,7869.0,114.0,300.42900000000003,-20
27,27682,2020-03-13,7979.0,110.0,242.143,-20
28,27683,2020-03-14,8086.0,107.0,188.429,-22
29,27684,2020-03-15,8162.0,76.0,146.857,-29
30,27685,2020-03-16,8236.0,74.0,122.0,-16
31,27686,2020-03-17,8320.0,84.0,115.286,-17
32,27687,2020-03-18,8413.0,93.0,94.0,-16
33,27688,2020-03-19,8565.0,152.0,99.429,-25
34,27689,2020-03-20,8652.0,87.0,96.14299999999999,-17
35,27690,2020-03-21,8799.0,147.0,101.85700000000001,-18
36,27691,2020-03-22,8897.0,98.0,105.0,-17
37,27692,2020-03-23,8961.0,64.0,103.571,-13
38,27693,2020-03-24,9037.0,76.0,102.429,-13
39,27694,2020-03-25,9137.0,100.0,103.429,-14
40,27695,2020-03-26,9241.0,104.0,96.571,-21
41,27696,2020-03-27,9332.0,91.0,97.14299999999999,-20
42,27697,2020-03-28,9478.0,146.0,97.0,-20
43,27698,2020-03-29,9583.0,105.0,98.0,-17
44,27699,2020-03-30,9661.0,78.0,100.0,-12
45,27700,2020-03-31,9786.0,125.0,107.0,-10
46,27701,2020-04-01,9786.0,0.0,92.714,-15
47,27702,2020-04-02,9976.0,190.0,105.0,-15
48,27703,2020-04-03,10062.0,86.0,104.286,-13
49,27704,2020-04-04,10156.0,94.0,96.85700000000001,-16
50,27705,2020-04-05,10237.0,81.0,93.429,-14
51,27706,2020-04-06,10284.0,47.0,89.0,-9
52,27707,2020-04-07,10331.0,47.0,77.857,-10
53,27708,2020-04-08,10384.0,53.0,85.429,-13
54,27709,2020-04-09,10423.0,39.0,63.857,-14
55,27710,2020-04-10,10450.0,27.0,55.428999999999995,-12
56,27711,2020-04-11,10450.0,0.0,42.0,-13
57,27712,2020-04-12,10512.0,62.0,39.286,-20
58,27713,2020-04-13,10537.0,25.0,36.143,-9
59,27714,2020-04-14,10564.0,27.0,33.286,-4
60,27715,2020-04-15,10591.0,27.0,29.570999999999998,-16
61,27716,2020-04-16,10613.0,22.0,27.143,-13
62,27717,2020-04-17,10635.0,22.0,26.429000000000002,-20
63,27718,2020-04-18,10653.0,18.0,29.0,-10
64,27719,2020-04-19,10661.0,8.0,21.285999999999998,-24
65,27720,2020-04-20,10674.0,13.0,19.570999999999998,-11
66,27721,2020-04-21,10683.0,9.0,17.0,-11
67,27722,2020-04-22,10694.0,11.0,14.714,-15
68,27723,2020-04-23,10702.0,8.0,12.714,-14
69,27724,2020-04-24,10708.0,6.0,10.429,-10
70,27725,2020-04-25,10718.0,10.0,9.286,-10
71,27726,2020-04-26,10728.0,10.0,9.571,-5
72,27727,2020-04-27,10738.0,10.0,9.142999999999999,-6
73,27728,2020-04-28,10752.0,14.0,9.857000000000001,-3
74,27729,2020-04-29,10761.0,9.0,9.571,2
75,27730,2020-04-30,10765.0,4.0,9.0,-6
76,27731,2020-05-01,10774.0,9.0,9.429,-10
77,27732,2020-05-02,10780.0,6.0,8.857000000000001,-4
78,27733,2020-05-03,10793.0,13.0,9.286,-2
79,27734,2020-05-04,10801.0,8.0,9.0,1
80,27735,2020-05-05,10804.0,3.0,7.428999999999999,-14
81,27736,2020-05-06,10806.0,2.0,6.428999999999999,-4
82,27737,2020-05-07,10810.0,4.0,6.428999999999999,-4
83,27738,2020-05-08,10822.0,12.0,6.857,-1
84,27739,2020-05-09,10840.0,18.0,8.571,-20
85,27740,2020-05-10,10874.0,34.0,11.571,-4
86,27741,2020-05-11,10909.0,35.0,15.429,-2
87,27742,2020-05-12,10936.0,27.0,18.857,-3
88,27743,2020-05-13,10962.0,26.0,22.285999999999998,-4
89,27744,2020-05-14,10991.0,29.0,25.857,-6
90,27745,2020-05-15,11018.0,27.0,28.0,-15
91,27746,2020-05-16,11037.0,19.0,28.143,-8
92,27747,2020-05-17,11050.0,13.0,25.143,-2
93,27748,2020-05-18,11065.0,15.0,22.285999999999998,-9
94,27749,2020-05-19,11078.0,13.0,20.285999999999998,-8
95,27750,2020-05-20,11110.0,32.0,21.143,-3
96,27751,2020-05-21,11122.0,12.0,18.714000000000002,-5
97,27752,2020-05-22,11142.0,20.0,17.714000000000002,-4
98,27753,2020-05-23,11165.0,23.0,18.285999999999998,-2
99,27754,2020-05-24,11190.0,25.0,20.0,-5
100,27755,2020-05-25,11206.0,16.0,20.143,-1
101,27756,2020-05-26,11225.0,19.0,21.0,-3
102,27757,2020-05-27,11265.0,40.0,22.143,-2
103,27758,2020-05-28,11344.0,79.0,31.714000000000002,-5
104,27759,2020-05-29,11402.0,58.0,37.143,-3
105,27760,2020-05-30,11441.0,39.0,39.429,-5
106,27761,2020-05-31,11468.0,27.0,39.714,-4
107,27762,2020-06-01,11503.0,35.0,42.428999999999995,-1
108,27763,2020-06-02,11541.0,38.0,45.143,-4
109,27764,2020-06-03,11590.0,49.0,46.428999999999995,-3
110,27765,2020-06-04,11629.0,39.0,40.714,-5
111,27766,2020-06-05,11668.0,39.0,38.0,-2
112,27767,2020-06-06,11719.0,51.0,39.714,-7
113,27768,2020-06-07,11776.0,57.0,44.0,-3
114,27769,2020-06-08,11814.0,38.0,44.428999999999995,-1
115,27770,2020-06-09,11852.0,38.0,44.428999999999995,-2
116,27771,2020-06-10,11902.0,50.0,44.571000000000005,-5
117,27772,2020-06-11,11947.0,45.0,45.428999999999995,-7
118,27773,2020-06-12,12003.0,56.0,47.857,-5
119,27774,2020-06-13,12051.0,48.0,47.428999999999995,-11
120,27775,2020-06-14,12084.0,33.0,44.0,-9
121,27776,2020-06-15,12121.0,37.0,43.857,-1
122,27777,2020-06-16,12155.0,34.0,43.286,-1
