,index,Date,Total_cases,New_cases,New_smoothed,Transits
0,32395,2020-02-15,3.0,0.0,0.14300000000000002,4.0
1,32396,2020-02-16,3.0,0.0,0.14300000000000002,6.0
2,32397,2020-02-17,3.0,0.0,0.14300000000000002,5.0
3,32398,2020-02-18,3.0,0.0,0.0,2.0
4,32399,2020-02-19,3.0,0.0,0.0,3.0
5,32400,2020-02-20,3.0,0.0,0.0,3.0
6,32401,2020-02-21,3.0,0.0,0.0,4.0
7,32402,2020-02-22,3.0,0.0,0.0,4.0
8,32403,2020-02-23,4.0,1.0,0.14300000000000002,7.0
9,32404,2020-02-24,4.0,0.0,0.14300000000000002,4.0
10,32405,2020-02-25,6.0,2.0,0.429,2.0
11,32406,2020-02-26,6.0,0.0,0.429,1.0
12,32407,2020-02-27,6.0,0.0,0.429,2.0
13,32408,2020-02-28,11.0,5.0,1.143,6.0
14,32409,2020-02-29,14.0,3.0,1.571,5.0
15,32410,2020-03-01,15.0,1.0,1.571,7.0
16,32411,2020-03-02,15.0,0.0,1.571,4.0
17,32412,2020-03-03,16.0,1.0,1.429,2.0
18,32413,2020-03-04,19.0,3.0,1.857,3.0
19,32414,2020-03-05,22.0,3.0,2.286,3.0
20,32415,2020-03-06,24.0,2.0,1.857,3.0
21,32416,2020-03-07,24.0,0.0,1.429,2.0
22,32417,2020-03-08,25.0,1.0,1.429,4.0
23,32418,2020-03-09,29.0,4.0,2.0,-17.0
24,32419,2020-03-10,31.0,2.0,2.1430000000000002,3.0
25,32420,2020-03-11,42.0,11.0,3.286,2.0
26,32421,2020-03-12,70.0,28.0,6.857,3.0
27,32422,2020-03-13,98.0,28.0,10.571,5.0
28,32423,2020-03-14,159.0,61.0,19.285999999999998,4.0
29,32424,2020-03-15,209.0,50.0,26.285999999999998,-4.0
30,32425,2020-03-16,245.0,36.0,30.857,-30.0
31,32426,2020-03-17,314.0,69.0,40.429,-9.0
32,32427,2020-03-18,411.0,97.0,52.714,-17.0
33,32428,2020-03-19,516.0,105.0,63.714,-22.0
34,32429,2020-03-20,664.0,148.0,80.857,-26.0
35,32430,2020-03-21,782.0,118.0,89.0,-29.0
36,32431,2020-03-22,850.0,68.0,91.571,-33.0
37,32432,2020-03-23,899.0,49.0,93.429,-37.0
38,32433,2020-03-24,1034.0,135.0,102.85700000000001,-41.0
39,32434,2020-03-25,1222.0,188.0,115.85700000000001,-44.0
40,32435,2020-03-26,1377.0,155.0,123.0,-46.0
41,32436,2020-03-27,1580.0,203.0,130.857,-47.0
42,32437,2020-03-28,1803.0,223.0,145.857,-43.0
43,32438,2020-03-29,1974.0,171.0,160.571,-47.0
44,32439,2020-03-30,2120.0,146.0,174.429,-47.0
45,32440,2020-03-31,2446.0,326.0,201.71400000000003,-48.0
46,32441,2020-04-01,2732.0,286.0,215.71400000000003,-50.0
47,32442,2020-04-02,3069.0,337.0,241.71400000000003,-52.0
48,32443,2020-04-03,3390.0,321.0,258.57099999999997,-52.0
49,32444,2020-04-04,3737.0,347.0,276.286,-48.0
50,32445,2020-04-05,3966.0,229.0,284.57099999999997,-51.0
51,32446,2020-04-06,4203.0,237.0,297.57099999999997,-54.0
52,32447,2020-04-07,4776.0,573.0,332.85699999999997,-56.0
53,32448,2020-04-08,5249.0,473.0,359.57099999999997,-55.0
54,32449,2020-04-09,5783.0,534.0,387.714,-62.0
