,index,Date,Total_cases,New_cases,New_smoothed,Transits
0,50628,2020-02-15,15.0,0.0,0.429,3.0
1,50629,2020-02-16,15.0,0.0,0.429,2.0
2,50630,2020-02-17,15.0,0.0,0.429,-9.0
3,50631,2020-02-18,15.0,0.0,0.28600000000000003,1.0
4,50632,2020-02-19,15.0,0.0,0.28600000000000003,1.0
5,50633,2020-02-20,15.0,0.0,0.14300000000000002,0.0
6,50634,2020-02-21,16.0,1.0,0.14300000000000002,1.0
7,50635,2020-02-22,35.0,19.0,2.8569999999999998,5.0
8,50636,2020-02-23,35.0,0.0,2.8569999999999998,5.0
9,50637,2020-02-24,35.0,0.0,2.8569999999999998,1.0
10,50638,2020-02-25,53.0,18.0,5.428999999999999,2.0
11,50639,2020-02-26,53.0,0.0,5.428999999999999,3.0
12,50640,2020-02-27,59.0,6.0,6.2860000000000005,4.0
13,50641,2020-02-28,60.0,1.0,6.2860000000000005,5.0
14,50642,2020-02-29,66.0,6.0,4.428999999999999,7.0
15,50643,2020-03-01,69.0,3.0,4.857,7.0
16,50644,2020-03-02,89.0,20.0,7.7139999999999995,2.0
17,50645,2020-03-03,103.0,14.0,7.143,3.0
18,50646,2020-03-04,125.0,22.0,10.286,2.0
19,50647,2020-03-05,159.0,34.0,14.286,2.0
20,50648,2020-03-06,233.0,74.0,24.714000000000002,2.0
21,50649,2020-03-07,338.0,105.0,38.857,7.0
22,50650,2020-03-08,433.0,95.0,52.0,5.0
23,50651,2020-03-09,554.0,121.0,66.429,-1.0
24,50652,2020-03-10,754.0,200.0,93.0,-3.0
25,50653,2020-03-11,1025.0,271.0,128.571,-2.0
26,50654,2020-03-12,1312.0,287.0,164.71400000000003,-6.0
27,50655,2020-03-13,1663.0,351.0,204.28599999999997,-10.0
28,50656,2020-03-14,2174.0,511.0,262.286,-10.0
29,50657,2020-03-15,2951.0,777.0,359.714,-13.0
30,50658,2020-03-16,3774.0,823.0,460.0,-22.0
31,50659,2020-03-17,4661.0,887.0,558.143,-26.0
32,50660,2020-03-18,6427.0,1766.0,771.7139999999999,-30.0
33,50661,2020-03-19,9415.0,2988.0,1157.5710000000001,-36.0
34,50662,2020-03-20,14250.0,4835.0,1798.1429999999998,-37.0
35,50663,2020-03-21,19624.0,5374.0,2492.857,-36.0
36,50664,2020-03-22,26747.0,7123.0,3399.429,-44.0
37,50665,2020-03-23,35206.0,8459.0,4490.286,-47.0
38,50666,2020-03-24,46442.0,11236.0,5968.714,-46.0
39,50667,2020-03-25,55231.0,8789.0,6972.0,-47.0
40,50668,2020-03-26,69194.0,13963.0,8539.857,-48.0
41,50669,2020-03-27,85991.0,16797.0,10248.714,-49.0
42,50670,2020-03-28,104686.0,18695.0,12151.714,-49.0
43,50671,2020-03-29,124665.0,19979.0,13988.286,-51.0
44,50672,2020-03-30,143025.0,18360.0,15402.714,-50.0
45,50673,2020-03-31,164620.0,21595.0,16882.571,-49.0
46,50674,2020-04-01,189618.0,24998.0,19198.143,-48.0
47,50675,2020-04-02,216721.0,27103.0,21075.286,-51.0
48,50676,2020-04-03,245540.0,28819.0,22792.714,-51.0
49,50677,2020-04-04,277965.0,32425.0,24754.142999999996,-50.0
50,50678,2020-04-05,312237.0,34272.0,26796.0,-54.0
51,50679,2020-04-06,337635.0,25398.0,27801.429,-52.0
52,50680,2020-04-07,368196.0,30561.0,29082.286,-51.0
53,50681,2020-04-08,398809.0,30613.0,29884.429,-51.0
54,50682,2020-04-09,432132.0,33323.0,30773.0,-54.0
55,50683,2020-04-10,466033.0,33901.0,31499.0,-54.0
56,50684,2020-04-11,501560.0,35527.0,31942.142999999996,-49.0
57,50685,2020-04-12,529951.0,28391.0,31102.0,-56.0
58,50686,2020-04-13,557571.0,27620.0,31419.429,-55.0
59,50687,2020-04-14,582594.0,25023.0,30628.286,-50.0
60,50688,2020-04-15,609516.0,26922.0,30101.0,-49.0
61,50689,2020-04-16,639664.0,30148.0,29647.429,-50.0
62,50690,2020-04-17,671331.0,31667.0,29328.286,-51.0
63,50691,2020-04-18,702164.0,30833.0,28657.714,-47.0
64,50692,2020-04-19,735086.0,32922.0,29305.0,-50.0
65,50693,2020-04-20,759687.0,24601.0,28873.714,-49.0
66,50694,2020-04-21,787752.0,28065.0,29308.286,-49.0
67,50695,2020-04-22,825041.0,37289.0,30789.286,-48.0
68,50696,2020-04-23,842629.0,17588.0,28995.0,-50.0
69,50697,2020-04-24,869172.0,26543.0,28263.0,-50.0
70,50698,2020-04-25,890524.0,21352.0,26908.571,-42.0
71,50699,2020-04-26,939053.0,48529.0,29138.142999999996,-48.0
72,50700,2020-04-27,965910.0,26857.0,29460.429,-48.0
73,50701,2020-04-28,988451.0,22541.0,28671.286,-45.0
74,50702,2020-04-29,1012583.0,24132.0,26791.714,-46.0
75,50703,2020-04-30,1039909.0,27326.0,28182.857000000004,-47.0
76,50704,2020-05-01,1069826.0,29917.0,28664.857000000004,-43.0
77,50705,2020-05-02,1103781.0,33955.0,30465.286,-35.0
78,50706,2020-05-03,1133069.0,29288.0,27716.571,-40.0
79,50707,2020-05-04,1158041.0,24972.0,27447.286,-44.0
80,50708,2020-05-05,1180634.0,22593.0,27454.714,-43.0
81,50709,2020-05-06,1204475.0,23841.0,27413.142999999996,-43.0
82,50710,2020-05-07,1228603.0,24128.0,26956.286,-42.0
83,50711,2020-05-08,1256972.0,28369.0,26735.142999999996,-43.0
84,50712,2020-05-09,1283929.0,26957.0,25735.429,-35.0
85,50713,2020-05-10,1309541.0,25612.0,25210.286,-37.0
86,50714,2020-05-11,1329799.0,20258.0,24536.857000000004,-44.0
87,50715,2020-05-12,1347916.0,18117.0,23897.429,-41.0
88,50716,2020-05-13,1369964.0,22048.0,23641.286,-40.0
89,50717,2020-05-14,1390746.0,20782.0,23163.286,-42.0
90,50718,2020-05-15,1417889.0,27143.0,22988.142999999996,-40.0
91,50719,2020-05-16,1443397.0,25508.0,22781.142999999996,-34.0
92,50720,2020-05-17,1467884.0,24487.0,22620.429,-39.0
93,50721,2020-05-18,1486757.0,18873.0,22422.571,-43.0
94,50722,2020-05-19,1508598.0,21841.0,22954.571,-40.0
95,50723,2020-05-20,1528568.0,19970.0,22657.714,-38.0
96,50724,2020-05-21,1551853.0,23285.0,23015.286,-37.0
97,50725,2020-05-22,1577287.0,25434.0,22771.142999999996,-36.0
98,50726,2020-05-23,1601434.0,24147.0,22576.714,-30.0
99,50727,2020-05-24,1622670.0,21236.0,22112.286,-33.0
100,50728,2020-05-25,1643238.0,20568.0,22354.429,-48.0
101,50729,2020-05-26,1662302.0,19064.0,21957.714,-37.0
102,50730,2020-05-27,1681212.0,18910.0,21806.286,-37.0
103,50731,2020-05-28,1699933.0,18721.0,21154.286,-37.0
104,50732,2020-05-29,1721750.0,21817.0,20637.571,-36.0
105,50733,2020-05-30,1747087.0,25337.0,20807.571,-26.0
106,50734,2020-05-31,1770384.0,23297.0,21102.0,-30.0
107,50735,2020-06-01,1790191.0,19807.0,20993.286,-36.0
108,50736,2020-06-02,1811277.0,21086.0,21282.142999999996,-36.0
109,50737,2020-06-03,1831821.0,20544.0,21515.571,-35.0
110,50738,2020-06-04,1851520.0,19699.0,21655.286,-35.0
111,50739,2020-06-05,1872660.0,21140.0,21558.571,-34.0
112,50740,2020-06-06,1897838.0,25178.0,21535.857000000004,-25.0
113,50741,2020-06-07,1920061.0,22223.0,21382.429,-28.0
114,50742,2020-06-08,1942363.0,22302.0,21738.857000000004,-34.0
115,50743,2020-06-09,1961185.0,18822.0,21415.429,-34.0
116,50744,2020-06-10,1979850.0,18665.0,21147.0,-33.0
117,50745,2020-06-11,2000464.0,20614.0,21277.714,-33.0
118,50746,2020-06-12,2023347.0,22883.0,21526.714,-30.0
119,50747,2020-06-13,2048986.0,25639.0,21592.571,-20.0
120,50748,2020-06-14,2074526.0,25540.0,22066.429,-23.0
121,50749,2020-06-15,2094069.0,19543.0,21672.286,-32.0
122,50750,2020-06-16,2114026.0,19957.0,21834.429,-31.0
123,50751,2020-06-17,2137731.0,23705.0,22554.429,-31.0
124,50752,2020-06-18,2163290.0,25559.0,23260.857000000004,-31.0
125,50753,2020-06-19,2191052.0,27762.0,23957.857000000004,-28.0
126,50754,2020-06-20,2220961.0,29909.0,24567.857000000004,-20.0
127,50755,2020-06-21,2255119.0,34158.0,25799.0,-23.0
128,50756,2020-06-22,2280912.0,25793.0,26691.857000000004,-32.0
